INSERTiON	104/0	187/0	263/0	374/0	-	181/0	256/0	316/0	-
PARANOiA ETERNAL	115/0	237/0	300/2	381/5	-	261/0	309/8	373/8	-
STILL IN MY HEART	117/0	180/0	255/0	290/0	-	169/0	230/0	276/0	-
CANDY☆	89/0	170/0	236/16	327/29	-	198/0	207/27	325/8	-
exotic ethnic	122/0	169/13	229/37	431/21	-	176/9	258/13	265/109	-
Healing Vision ～Angelic mix～	153/0	273/0	377/0	479/0	-	272/0	377/0	471/0	-
Let the beat hit em!(CLASSIC R&B STYLE)	65/0	133/0	172/0	192/0	-	134/0	172/0	190/0	-
MAX 300	85/0	264/2	373/35	555/2	-	263/8	347/5	485/2	-
ORION.78～civilization mix～	69/0	232/0	313/0	398/0	-	232/0	277/0	383/0	-
革命	103/0	128/32	237/15	371/7	317/7	109/34	193/26	365/2	305/2
AFRONOVA(FROM NONSTOP MEGAMIX)	-	-	-	-	355/9	-	-	-	355/5
AM-3P(AM EAST mix)	-	-	-	-	289/3	-	-	-	289/3
B4U(B4 ZA BEAT MIX)	-	-	-	-	243/8	-	-	-	226/8
BRE∀K DOWN!	103/0	144/7	279/14	403/5	-	152/9	276/13	418/1	-
BRILLIANT 2U(K.O.G G3 MIX)	-	-	-	-	267/2	-	-	-	263/2
BURNIN' THE FLOOR(BLUE FIRE mix)	-	-	-	-	277/3	-	-	-	263/3
BURNING HEAT!(3 Option MIX)	96/0	116/12	200/29	413/5	-	109/23	200/22	314/1	-
CANDY♡	139/0	126/4	230/16	317/20	-	127/12	211/27	287/8	-
CELEBRATE NITE(EURO TRANCE STYLE)	-	-	-	-	288/2	-	-	-	288/2
D2R	124/0	147/5	236/29	327/7	-	138/4	238/10	332/0	-
DESTINY	115/0	116/0	239/16	332/8	-	147/5	268/2	336/4	-
DIVE TO THE NIGHT	114/0	144/4	253/4	341/1	-	139/3	258/3	341/2	-
DROP OUT(FROM NONSTOP MEGAMIX)	-	-	-	-	281/4	-	-	-	277/4
ECSTASY (midnight blue mix)	-	-	-	-	262/6	-	-	-	229/16
HIGHER(next morning mix)	-	-	-	-	284/3	-	-	-	270/6
HYSTERIA 2001	-	-	-	-	279/21	-	-	-	269/22
i feel ...	92/0	132/4	202/30	331/2	-	84/20	196/6	329/3	-
MAXX UNLIMITED	94/0	222/49	333/62	555/56	-	150/69	300/55	500/23	-
MY SUMMER LOVE(TOMMY'S SMILE MIX)	-	-	-	-	295/11	-	-	-	283/5
rain of sorrow	72/0	77/14	210/62	315/4	-	100/7	210/9	255/64	-
Secret Rendez-vous	71/0	94/1	146/3	237/12	-	101/1	148/2	256/8	-
SEXY PLANET(FROM NONSTOP MEGAMIX)	-	-	-	-	291/9	-	-	-	243/11
Silent Hill (3rd christmas mix)	-	-	-	-	232/50	-	-	-	234/48
STILL IN MY HEART(MOMO MIX)	-	-	-	-	357/2	-	-	-	357/2
SUPER STAR(FROM NONSTOP MEGAMIX)	-	-	-	-	282/8	-	-	-	281/8
Sweet Sweet ♡ Magic	128/0	139/2	276/19	372/33	-	131/3	235/2	330/3	-
TSUGARU	92/0	107/18	232/8	366/8	-	158/4	236/5	360/3	-
TSUGARU (APPLE MIX)	-	-	-	-	353/6	-	-	-	286/6
WILD RUSH(FROM NONSTOP MEGAMIX)	-	-	-	-	207/15	-	-	-	229/18
LA BAMBA	99/0	119/8	209/16	305/10	-	118/6	211/14	282/14	-
蒼い衝動 ～for EXTREME～	101/0	133/6	222/9	285/4	-	131/7	215/9	283/4	-
桜	160/0	228/7	345/3	446/1	356/1	226/9	317/6	438/1	352/1
大見解	164/0	176/2	269/10	425/16	433/16	203/2	268/8	415/18	424/18
三毛猫ロック	111/0	128/20	224/4	314/9	-	141/11	247/6	313/15	-
A	104/0	147/7	241/2	329/3	326/3	146/2	214/2	318/3	324/3
Across the nightmare	171/0	205/0	274/13	305/12	372/0	205/0	274/10	305/14	365/0
air	88/0	152/0	177/2	219/10	-	117/0	185/4	217/8	-
AM-3P -303 BASS MIX-	101/0	128/0	217/0	242/0	-	123/0	204/0	233/0	-
bag	45/0	149/0	208/0	382/0	382/0	148/0	217/0	360/0	360/0
BE LOVIN	133/0	152/3	229/4	304/4	-	128/3	237/3	291/5	-
Colors ～for EXTREME～	118/0	181/12	268/9	310/9	430/7	172/6	265/5	322/9	400/7
CUTIE CHASER(MORNING MIX)	73/0	91/0	140/0	215/8	-	86/0	162/0	197/5	-
Dance Dance Revolution	127/0	170/0	245/4	352/0	369/0	192/0	234/2	345/0	344/0
Destiny lovers	104/0	118/6	192/21	358/14	-	115/4	197/14	302/13	-
DROP THE BOMB(SyS.F. Mix)	83/0	140/20	194/34	272/12	-	128/13	168/6	246/29	-
Frozen Ray ～for EXTREME～	124/0	171/8	277/5	395/3	-	140/8	264/4	356/1	-
Gamelan de Couple	114/0	149/0	175/0	298/0	-	152/0	171/0	297/0	-
GRADUATION ～それぞれの明日～	90/0	110/0	192/11	274/1	-	116/0	181/10	245/5	-
Happy Wedding	86/0	131/1	177/8	264/6	-	135/1	179/9	261/5	-
Heaven is a '57 metallic gray ～gimmix～	108/0	144/3	226/7	299/19	-	173/2	245/10	327/12	-
HYPER EUROBEAT	95/0	174/10	223/16	293/16	-	182/12	239/22	277/18	-
I'm gonna get you!	103/0	137/3	214/12	313/6	-	129/2	213/9	307/4	-
jane jana	77/0	157/0	178/0	303/0	-	161/0	173/0	305/0	-
JET WORLD	119/0	164/10	229/4	325/11	-	153/10	226/5	287/9	-
KISS KISS KISS	107/0	199/1	243/7	332/31	-	167/14	226/19	332/19	-
Kiss me all night long	106/0	116/4	193/13	316/10	-	130/6	197/13	291/15	-
L'amour et la liberté(DDR Ver.)	103/0	168/15	244/15	308/2	-	163/5	235/6	290/4	-
♥Love²シュガ→♥	100/0	131/0	184/9	249/1	-	134/0	186/3	232/1	-
LOVE♥SHINE	130/0	195/8	209/12	312/21	-	161/20	219/4	337/7	-
Miracle Moon ～L.E.D.LIGHT STYLE MIX～	101/0	142/2	206/5	284/2	-	124/2	203/5	292/2	-
PARANOIA survivor	103/0	233/2	340/2	509/4	-	233/2	338/3	475/2	-
PARANOIA survivor MAX	121/0	258/2	377/2	567/5	613/4	258/2	375/3	533/3	613/4
Pink Rose	84/0	123/5	194/8	243/25	-	123/2	185/13	233/15	-
SO IN LOVE	66/0	102/27	147/33	191/26	-	86/7	139/14	186/24	-
STAY (Organic house Version)	65/0	111/2	166/7	209/5	-	102/1	155/8	204/2	-
stoic (EXTREME version)	102/0	134/0	270/4	342/3	-	131/0	265/0	333/0	-
sync (EXTREME version)	94/0	180/10	257/11	304/7	328/8	190/18	255/7	283/17	313/8
TEARS	129/0	177/9	249/5	360/6	-	175/10	252/5	336/7	-
The Least 100sec	101/0	169/5	304/7	429/2	-	167/5	301/7	459/2	-
The legend of MAX	174/0	255/3	357/29	500/3	-	242/3	366/3	484/3	-
TRIP MACHINE survivor	121/0	184/2	289/2	347/2	-	174/2	296/2	347/1	-
Twin Bee -Generation X-	75/0	112/3	173/9	242/15	-	111/3	164/13	233/11	-
V ～for EXTREME～	123/0	153/12	265/16	365/12	448/4	156/10	237/14	331/4	425/4
VANITY ANGEL	79/0	144/0	236/0	325/17	-	134/0	222/0	284/0	-
xenon	121/0	160/12	271/12	375/11	-	177/12	251/11	363/12	-
1998	119/0	177/1	231/1	311/6	-	180/1	235/2	313/6	-
321STARS	95/0	146/5	239/15	308/7	-	147/5	241/7	307/7	-
怒れる大きな白い馬	100/0	141/3	228/1	347/5	-	115/3	209/1	338/1	-
カゲロウ	118/0	157/3	233/3	290/5	-	135/3	216/3	275/4	-
月光蝶	117/0	121/7	223/5	299/8	-	109/3	212/2	298/2	-
この子の七つのお祝いに	97/0	209/22	316/8	458/4	-	195/9	304/12	452/4	-
男々道	123/0	159/0	221/4	365/0	-	145/0	269/0	363/0	-
チカラ	115/0	149/0	269/8	367/1	-	161/0	269/16	384/0	-
虹色	99/0	118/0	256/3	328/0	427/6	105/0	215/3	350/0	406/8
華爛漫 -Flowers-	123/0	211/5	272/1	348/1	-	184/1	266/1	359/3	-
ヒマワリ	120/0	156/5	278/6	370/2	-	147/18	280/5	428/4	-
夢幻ノ光	115/0	119/12	241/31	331/25	-	119/13	234/30	329/23	-
A Stupid Barber	108/0	152/16	215/14	271/25	-	126/3	225/9	271/6	-
AA	108/0	186/2	275/2	386/2	-	186/2	273/2	366/2	-
Bad Routine	103/0	127/4	189/7	207/30	-	117/7	187/4	226/12	-
Baile Le Samba	50/0	55/0	161/18	215/23	-	78/0	131/0	209/2	-
BALLAD FOR YOU～想いの雨～	52/0	104/10	150/27	211/26	-	75/9	164/8	245/21	-
Brazilian Anthem	84/0	155/10	213/30	269/12	-	156/8	201/10	282/7	-
cachaca	53/11	87/10	171/4	249/19	-	106/10	190/28	245/14	-
Can Be Real	104/0	129/12	204/8	257/27	-	105/4	183/7	228/12	-
CAN'T STOP FALLIN' IN LOVE (super euro version)	100/0	117/0	198/7	288/0	-	87/0	181/2	282/0	-
CENTAUR	73/0	147/9	207/9	283/6	-	159/8	211/5	310/2	-
CHAOS	56/0	183/5	245/2	321/5	405/9	174/2	242/2	316/5	360/7
CURUS	82/0	91/0	123/51	294/35	-	99/0	169/14	315/0	-
DoLL	121/0	194/17	251/68	366/53	431/51	198/18	244/71	374/37	454/36
Dragon Blade	162/0	249/1	311/1	395/1	-	248/1	310/1	396/1	-
Fascination ～eternal love mix～	226/2	288/6	395/1	588/6	572/14	278/20	371/4	584/3	581/2
Fascination MAXX	101/0	272/9	397/7	640/4	670/16	264/12	380/3	628/3	654/3
Flow	111/0	161/17	236/7	311/2	-	171/17	237/9	307/2	-
Flow (True Style)	111/0	161/17	236/7	311/2	364/1	171/17	237/9	307/2	360/1
Fly away	100/0	110/3	201/29	330/3	-	113/4	205/10	297/6	-
Forever Sunshine	91/0	93/18	155/24	181/23	-	95/8	143/17	182/17	-
Freedom	114/0	141/27	196/6	291/7	-	137/18	187/5	251/5	-
Funk Boogie	94/0	126/25	123/16	219/26	-	108/5	185/6	215/9	-
GORGEOUS 2012	81/0	81/0	233/14	270/6	-	117/15	172/13	267/6	-
HAPPY☆ANGEL	134/0	136/1	276/14	386/5	593/33	136/3	234/26	363/2	520/18
Healing-D-Vision	150/0	267/18	349/2	421/2	525/2	264/18	345/2	443/2	517/2
I Need You	100/0	105/11	161/15	186/22	-	107/3	163/9	207/4	-
iFUTURELIST(DDR VERSION)	88/0	139/10	228/29	294/10	355/6	160/6	219/33	292/10	355/6
INNOCENCE OF SILENCE	77/0	151/7	197/7	296/9	-	149/7	197/7	292/7	-
INSIDE YOUR HEART	76/0	117/8	185/4	241/4	-	118/9	187/4	242/4	-
Jam & Marmalade	92/0	109/15	179/8	212/13	-	115/6	173/6	205/1	-
KEEP ON MOVIN' ～DMX MIX～	89/0	134/12	187/13	307/31	-	115/5	196/16	297/2	-
La Bamba	110/0	155/1	247/1	328/1	-	155/1	247/1	328/1	-
LOGICAL DASH	78/0	111/8	168/8	224/18	-	103/7	147/17	201/11	-
LOVE IS ORANGE	110/2	148/5	216/26	252/0	327/8	165/5	219/27	246/2	316/11
Make A Difference	90/6	164/27	245/49	349/38	-	165/27	242/49	352/40	-
MARIA(I believe...)	96/5	132/28	202/12	277/10	-	131/28	202/14	278/14	-
MAX 300 (Super-Max-Me Mix)	203/6	345/30	409/34	586/60	610/62	359/0	394/9	543/48	562/188
MAXIMIZER	148/0	201/29	264/16	360/9	-	192/4	279/7	331/14	-
MIDNIGHT SPECIAL	101/12	144/21	236/11	267/14	-	190/3	244/11	274/8	-
Mind Parasite	79/0	125/15	201/21	330/26	-	125/15	180/21	274/24	-
Monkey Punk	151/16	222/30	268/16	322/17	-	223/22	258/12	260/18	-
MOON	100/0	100/10	240/6	315/7	-	104/8	247/3	330/3	-
murmur twins	81/0	86/3	237/11	325/7	-	74/0	222/2	310/0	-
My Only Shining Star	75/0	83/0	150/4	261/0	-	102/0	157/2	328/0	-
No.13	107/0	181/13	293/6	420/9	-	175/3	275/2	383/5	-
PARANOiA-Respect-	95/0	345/10	413/26	555/18	-	247/0	396/13	524/13	-
PASSION OF LOVE	101/0	154/10	224/18	290/22	-	161/29	221/18	287/19	-
Polovtsian Dances And Chorus	104/4	149/9	228/38	328/4	-	149/9	233/39	340/0	-
PUT YOUR FAITH IN ME ～SATURDAY NIGHT MIX～	78/0	132/6	210/11	252/12	-	123/4	199/3	281/4	-
Quickening	111/0	161/24	224/25	333/13	-	139/20	223/21	265/21	-
Quick Master	87/0	139/22	219/10	273/11	-	133/21	217/8	262/1	-
rainbow flyer	90/0	127/21	180/9	292/13	-	104/14	194/23	290/15	-
rainbow rainbow	82/0	91/0	172/11	307/12	-	109/0	226/1	302/11	-
RED ZONE	129/0	188/6	244/6	357/6	-	188/6	244/6	335/6	-
Saturday Night Love	81/0	111/22	181/38	214/42	-	117/5	179/7	220/7	-
Scorching Moon	93/0	163/8	202/8	239/12	-	154/8	204/8	282/14	-
SEDUCTION	98/0	151/24	240/7	385/13	-	159/20	242/7	358/31	-
SEDUCTION(Vocal Remix)	131/0	223/3	304/5	376/1	-	204/4	297/1	370/1	-
Ska Ska No.3	82/0	97/0	204/0	244/2	-	105/0	168/0	246/0	-
Star Gate Heaven	97/0	117/1	218/1	281/5	-	106/3	209/1	288/1	-
STARS☆☆☆(2nd NAOKI's style)	105/0	184/14	223/14	294/22	-	188/17	224/14	295/21	-
THE SHINING POLARIS	102/0	107/0	172/42	234/75	-	158/5	201/19	240/28	-
TIERRA BUENA	65/0	125/5	190/5	246/5	-	112/16	176/5	239/1	-
TOMORROW	91/1	124/16	212/3	290/10	-	140/15	214/11	285/11	-
Tomorrow Perfume	92/0	126/15	201/18	258/33	-	118/12	195/8	228/12	-
TRUE♡LOVE	131/0	166/4	265/7	353/1	-	153/1	262/8	349/1	-
Try 2 Luv. U	66/0	73/17	125/16	150/30	-	88/7	127/10	169/12	-
un deux trois	102/0	121/25	187/34	267/11	-	113/4	160/13	225/13	-
Under the Sky	64/0	64/2	117/9	197/21	-	93/0	177/8	213/5	-
Xepher	111/0	221/14	336/9	442/14	530/14	217/13	329/5	419/12	515/13
You gotta move it (feat. Julie Rugaard)	83/1	134/20	192/25	253/12	-	128/22	182/21	257/17	-
A thing called LOVE	88/0	175/12	243/14	316/37	-	176/11	244/14	346/9	-
AM-3P ("CHAOS" Special)	-	-	-	-	309/4	-	-	-	276/2
Arrabbiata	167/0	310/0	376/1	452/1	-	310/1	375/1	447/1	-
B4U ("VOLTAGE" Special)	-	-	-	-	367/0	-	-	-	367/0
Blind Justice ～Torn souls, Hurt Faiths ～	100/0	174/16	252/14	374/25	-	169/22	249/14	342/17	-
Bloody Tears(IIDX EDITION)	101/0	139/0	189/4	265/0	-	149/0	177/24	271/0	-
BRILLIANT 2U ("STREAM" Special)	-	-	-	-	340/6	-	-	-	325/0
CaptivAte～誓い～	100/0	155/14	252/14	420/15	-	151/23	247/17	419/16	-
D2R ("FREEZE" Special)	-	-	-	-	175/67	-	-	-	158/54
DEAD END ("GROOVE RADAR" Special)	-	-	-	-	479/75	-	-	-	455/75
dream of love	64/0	84/0	184/8	199/37	-	132/8	179/12	228/2	-
DYNAMITE RAVE ("AIR" Special)	-	-	-	-	217/0	-	-	-	217/0
Electrified	104/0	147/2	209/1	273/9	-	178/1	206/1	286/3	-
Every Day, Every Night(NM style)	76/1	103/0	145/5	238/3	-	103/0	145/5	261/4	-
Feelings Won't Fade(Extend Trance Mix)	98/5	191/29	245/19	356/23	-	191/29	258/1	395/9	-
FIRE	88/0	162/19	256/10	345/7	-	118/0	191/17	352/24	-
Flow (Jammin' Ragga Mix)	84/0	126/25	222/7	309/25	-	121/25	223/14	290/29	-
Fly Away -mix del matador-	114/2	166/6	236/4	372/15	-	160/22	237/18	363/4	-
Freeway Shuffle	89/4	182/12	239/10	294/36	372/5	182/12	239/10	294/34	368/5
GIRIGILI門前雀羅	81/0	170/2	255/6	350/4	-	170/2	255/6	348/4	-
L'amour et la liberté(Darwin & DJ Silver remix)	80/4	131/10	198/17	340/1	-	126/0	221/13	340/22	-
MARS WAR 3	89/0	133/0	242/16	389/16	-	123/4	280/8	350/16	-
MOONSTER	89/2	156/4	238/13	305/37	-	139/1	231/11	266/21	-
Music In The Rhythm	134/0	230/17	291/14	377/15	-	226/3	281/1	365/22	-
NGO	130/0	203/2	259/10	371/10	418/10	203/2	259/10	370/10	423/10
PARANOiA ～HADES～	201/0	341/1	457/1	522/1	662/1	341/1	458/1	518/1	653/1
Pluto	98/0	195/2	293/17	370/10	516/10	201/2	296/2	380/13	525/6
Pluto Relinquish	47/0	342/36	397/10	546/13	557/17	325/23	398/19	531/3	562/12
Poseidon	87/0	128/5	225/1	298/7	-	161/1	228/1	276/3	-
Raspberry♡Heart(English version)	128/0	188/3	237/5	291/8	314/1	193/3	240/8	295/15	331/0
Saturn	88/0	179/8	267/16	337/27	-	148/10	233/16	299/54	-
Shades of Grey	59/0	132/5	223/6	255/6	-	127/5	204/6	251/6	-
Silver Platform - I wanna get your heart -	80/2	169/31	227/18	340/21	-	94/35	218/18	311/37	-
SOUL CRASH	95/0	206/6	294/5	390/9	-	184/11	272/8	373/9	-
Star Gate Heaven (Future Love Mix)	75/3	163/11	235/14	335/10	-	184/10	237/9	335/28	-
STARS☆☆☆ (Re-tuned by HΛL) - DDR EDITION -	108/0	166/6	280/9	300/0	-	166/10	281/7	300/0	-
stealth	85/0	183/6	237/8	311/29	-	179/10	237/11	332/10	-
SUNKiSS♡DROP	137/0	195/5	234/3	422/14	348/14	133/2	233/7	325/18	356/4
switch	109/0	180/9	232/11	289/14	-	180/13	226/10	281/13	-
Trim	110/0	186/16	313/13	467/27	-	190/17	309/37	462/26	-
TRIP MACHINE PhoeniX	78/0	159/1	283/1	403/1	475/1	159/1	283/1	403/1	477/1
Trust -DanceDanceRevolution mix-	75/0	150/4	218/13	288/22	-	138/7	213/13	305/17	-
Unreal	97/0	212/0	307/0	398/0	-	212/0	311/0	396/0	-
Uranus	125/0	204/0	282/6	344/7	402/0	204/0	282/7	344/7	402/0
Vem brincar	84/3	153/31	219/19	261/31	-	157/20	222/17	324/16	-
Venus	64/0	127/14	259/10	355/22	436/20	134/11	209/13	297/30	406/20
volcano	82/3	153/11	249/15	436/18	-	175/2	260/9	436/15	-
Votum stellarum -forest #25 DDR RMX-	52/0	128/9	269/0	357/0	-	112/9	227/0	312/0	-
Why not	138/0	239/8	269/8	330/8	-	239/8	263/8	327/8	-
30 Lives (Up-Up-Down-Dance Mix)	68/0	108/8	208/19	243/1	-	111/4	197/20	241/3	-
革命(X-Special)	-	-	-	-	378/21	-	-	-	377/19
零 - ZERO -	91/0	188/8	280/27	384/29	-	186/6	256/21	363/9	-
凛として咲く花の如く	128/0	189/16	242/24	337/21	-	175/14	232/19	359/21	-
A Geisha's Dream	90/0	192/10	254/30	340/30	-	188/8	240/10	341/16	-
AFRONOVA(X-Special)	-	-	-	-	394/30	-	-	-	402/11
Beautiful Inside (Cube::Hard Mix)	68/0	101/10	188/19	244/26	-	101/12	196/12	259/15	-
Blue Rain	81/0	155/11	193/17	298/16	-	139/11	211/18	307/15	-
CANDY☆(X-Special)	-	-	-	-	337/43	-	-	-	341/40
Chance and Dice	99/0	164/8	203/28	280/20	-	159/4	200/15	290/23	-
Dance Celebration	72/0	141/8	218/20	330/10	308/10(26)	148/7	192/9	298/7	275/7(25)
Dance Celebration (System 7 Remix)	86/3	145/15	223/32	314/31	-	143/27	174/7	307/14	-
Dance Dance Revolution(X-Special)	-	-	-	-	353/36	-	-	-	353/35
Dance Floor	66/0	125/2	184/17	226/28	-	112/2	188/12	231/26	-
dazzle	60/0	111/21	184/12	250/17	-	101/15	182/17	243/23	-
Dream Machine	86/0	182/12	240/12	305/10	-	142/6	232/7	321/5	-
Flight of the Phoenix	71/0	131/1	177/19	212/29	169/13(29)	138/1	171/15	209/32	158/14(19)
Flourish	95/0	175/1	254/12	313/17	-	187/2	235/10	292/8	-
Healing Vision(X-Special)	-	-	-	-	462/40	-	-	-	456/26
Horatio	75/1	128/4	244/14	503/12	436/12(37)	124/10	211/11	422/3	382/3(43)
Inspiration	82/0	139/4	188/10	255/14	-	132/4	183/13	261/10	-
INTO YOUR HEART (Ruffage remix)	69/0	97/1	217/8	301/10	-	142/4	206/8	291/12	-
Lift You Up	73/0	121/2	169/4	229/2	-	118/3	173/4	214/2	-
LOVING YOU (Epidemik remix)	78/0	124/4	235/4	306/26	-	146/6	241/6	299/16	-
Malacca	85/0	139/2	183/2	229/3	385/18	150/2	186/3	219/1	389/1
MAX 300(X-Special)	-	-	-	-	523/30	-	-	-	514/28
MAXX UNLIMITED(X-Special)	-	-	-	-	640/104	-	-	-	596/41
on the bounce	97/0	197/12	310/16	423/13	482/20	174/10	269/9	404/13	469/20
On The Break	88/0	213/32	294/29	370/18	-	218/5	285/5	360/5	-
PARANOiA ETERNAL(X-Special)	-	-	-	-	452/30	-	-	-	426/9
PARANOIA EVOLUTION(X-Special)	-	-	-	-	382/1	-	-	-	428/1
PARANOiA MAX～DIRTY MIX～(X-Special)	-	-	-	-	420/4	-	-	-	380/12
PARANOiA Rebirth(X-Special)	-	-	-	-	463/22	-	-	-	472/12
PARANOiA(X-Special)	-	-	-	-	371/12	-	-	-	352/42
Party Lights	77/0	117/36	173/32	250/52	-	117/0	173/19	243/54	-
Playa (Original Mix)	86/0	141/8	224/8	331/7	-	136/0	217/8	330/1	-
puzzle	77/0	120/9	167/10	205/8	-	125/2	155/3	214/2	-
S・A・G・A	137/0	208/12	281/12	317/17	-	209/3	263/11	353/5	-
SABER WING	162/0	258/24	346/33	442/24	389/18(59)	271/9	330/17	433/13	389/13(48)
SABER WING (Akira Ishihara Headshot mix)	175/12	297/17	357/10	439/29	492/31	276/15	341/10	421/29	480/25
Slip Out	57/0	78/6	147/15	193/13	-	100/2	133/20	189/12	-
Slip Out (bounce in beat mix)	59/0	115/1	145/43	228/53	-	111/1	150/42	220/28	-
SP-TRIP MACHINE～JUNGLE MIX～(X-Special)	-	-	-	-	254/18	-	-	-	262/11
SUPER SAMURAI	117/0	251/13	400/2	501/27	-	259/11	369/9	485/22	-
Taj He Spitz	77/0	131/14	202/0	281/2	-	127/4	207/4	289/6	-
